string,pred_old,preds
1250g montenegro amaro,montenegro amaro,montenegro amaro
1250g pineapple juice,pineapple juice,pineapple juice
1250g pisco,watermelons,pisco
1250g punt e mes,punt e mes,punt e mes
1250g rum,rum,rum
"1250g simple syrup, made with honey instead of sugar",simple syrup,simple syrup
1250g spiced rum,spiced rum,spiced rum
1250g vanilla simple syrup,ginger simple simple syrup,vanilla simple syrup
1250ml amaro (optional),almond jam,amaro nonino
"1250ml apple cider, fresh",apple cider,apple schnapps
1250ml averna,spareribs,cynar
1250ml bornholmer bitter,bornholmer bitter,bornholmer bitter
"1250ml cocchi americano, chilled",cocchi americano,cocchi americano
1250ml creme de cacao,creme de cacao,creme de cacao
1250ml cynar,twine,cynar
1250ml demerara simple syrup,simple simple syrup,demerara simple syrup
1250ml dubonnet,dubonnet,dubonnet
1250ml freshly squeezed lemon juice,lemon juice,freshly lemon juice
1250ml gran classico,gran classico,gran classico
"1250ml grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
"1250ml large lime juice, fresh",lime juice,large lime juice
"1250ml lemon, freshly squeezed",lemon,cherry
1250ml pisco,watermelons,pisco
1250ml port,port,port
"1250ml red grapefruit, fresh",red grapefruit,red onion
1250ml rosemary simple syrup,simple simple,citric simple syrup
1250ml simple syrup,simple syrup,simple syrup
1250ml sparkling wine,sparkling wine,sparkling wine
1250ml tequila (optional),tequila,tequila
1250ml vermouth,vermouth,vermouth
1250ml water,water,water
"1250ml water, hot",water,cornmeal
1250ml white vermouth,white vermouth,white vermouth
1250ml whole milk,whole milk,whole milk
125ml Cointreau,farro,cointreau
125ml lemon juice,lemon juice,lemon juice
125ml sparkling water,maple maple,sparkling water
13 ounces water,water,water
1300 g aperol,aperol,aperol
1300 g apple cider,apple cider,apple cider
"1300 g apple cider, fresh",apple cider,apple schnapps
1300 g aquavit,aquavit,aquavit
1300 g averna,averna,cynar
1300 g blanco tequila,blanco tequila,blanco tequila
1300 g bourbon,bourbon,bourbon
1300 g campari,campari,campari
"1300 g champagne, approximately",champagne,eel
1300 g cherry simple syrup,simple simple syrup,cherry simple syrup
1300 g chilled champagne,champagne,chilled champagne
1300 g cocchi americano,cocchi americano,cocchi americano
"1300 g cucumber juice, fresh",cucumber juice,cucumber juice
1300 g curacao,curacao,curacao
1300 g cynar,cynar,cynar
1300 g demerara simple syrup,simple simple syrup,demerara simple syrup
"1300 g dry vermouth, chilled",dry vermouth,dry sherry
1300 g fresh egg white,egg white,fresh egg white
1300 g freshly squeezed lemon juice,lemon juice,freshly lemon juice
1300 g freshly squeezed lime juice,lime juice,freshly ground lime juice
1300 g ginger juice,ginger juice,ginger juice
1300 g grapefruit juice,grapefruit juice,grapefruit juice
1300 g grenadine,grenadine,grenadine
"1300 g lemon juice, fresh",lemon juice,lemon juice
"1300 g lemon juice, freshly squeezed",lemon juice,lemon juice
"1300 g lemon, freshly squeezed",lemon,shallots
1300 g lillet blonde (optional),lillet blonde,lillet blonde
1300 g maple syrup,maple syrup,maple syrup
1300 g old tom gin,old tom gin,old tom gin
1300 g sage simple syrup,simple simple syrup,sage simple syrup
1300 g single-malt scotch (optional),almond,<OOV> malt
"1300 g smoked brewed black tea, such as lapsang souchong",brewed black tea,smoked brewed black tea
1300 g tequila (optional),tequila,tequila
1300 g unfiltered apple cider,apple cider,unfiltered apple cider cider
1300 g vanilla,vanilla,vanilla
1300 g walnut liqueur,walnut liqueur,walnut liqueur
1300 g water,water,water
1300 g whiskey,whiskey,whiskey
1300 g white balsamic vinegar,white balsamic vinegar,white balsamic vinegar
1300 g whole milk,whole milk,whole milk
1300 ml agave nectar,agave nectar,agave nectar
1300 ml aged rum,aged rum,aged rum
1300 ml amaro,amaro,amaro nonino
1300 ml apple brandy,apple brandy,apple brandy
1300 ml apple cider,apple cider,apple cider
1300 ml averna,averna,averna
1300 ml becherovka,becherovka,averna
1300 ml blanco tequila,blanco tequila,blanco tequila
1300 ml cava,cava,cava
1300 ml celery juice,celery juice,celery juice
"1300 ml champagne, approximately",champagne,watermelon
1300 ml cointreau,cointreau,cointreau
1300 ml cranberry juice,cranberry juice,cranberry juice
"1300 ml dry vermouth, chilled",dry vermouth,dry vermouth
1300 ml elderflower liqueur,elderflower liqueur,elderflower liqueur
1300 ml falernum,falernum,averna
1300 ml freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
1300 ml galliano,galliano,galliano
1300 ml ginger juice,ginger juice,ginger juice
"1300 ml grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
1300 ml grapefruit soda,grapefruit soda,grapefruit soda
"1300 ml hot, freshly brewed black coffee",black black,freshly brewed black tea
1300 ml lillet blanc,lillet blanc,lillet blanc
1300 ml lillet rouge,lillet rouge,lillet rouge
1300 ml mango schnapps,mango schnapps,mango schnapps
"1300 ml orange juice, freshly squeezed",orange juice,orange juice
1300 ml peach liqueur,peach liqueur,peach liqueur
1300 ml pepper vodka,pepper vodka,pepper vodka
1300 ml pimms,pimms,pimms
"1300 ml red grapefruit, fresh",red grapefruit,red onion
1300 ml rose champagne,rose champagne,rose champagne
1300 ml seltzer,seltzer,seltzer
"1300 ml seltzer, chilled",seltzer,seltzer
1300 ml sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
1300 ml unfiltered apple cider,apple cider,unfiltered apple cider cider
1300 ml vanilla,vanilla,vanilla
1300 ml vanilla simple syrup,vanilla simple syrup syrup,vanilla simple syrup
1300 ml vodka,vodka,vodka
"1300 ml water, hot",water,cornmeal
1300 ml whipped cream,whipped cream,whipped cream
1300 ml white rum,white rum,white rum
1300g amber rum,amber rum,amber rum
1300g amer picon,amer picon,amer picon
1300g angostura bitters,angostura bitters,angostura bitters
1300g aperol,aperol,aperol
1300g averna,spareribs,cynar
1300g basil simple syrup,simple simple syrup,ginger simple syrup
1300g becherovka,fritos,cynar
1300g bornholmer bitter,bornholmer bitter,bornholmer bitter
1300g chilled champagne,champagne,chilled champagne
1300g cranberry simple syrup,dried simple syrup,cranberry simple syrup
1300g demerara simple syrup,simple simple syrup,demerara simple syrup
1300g drinking vinegar,english sherry,smoked vinegar
"1300g dry lambrusco, chilled",cola,dry sherry
1300g ginger beer,ginger beer,ginger beer
1300g granny smith apple cider,granny smith apple,granny smith cider
1300g grapefruit juice,grapefruit juice,grapefruit juice
1300g green chartreuse,green chartreuse,green chartreuse
"1300g hot, freshly brewed black coffee",black black,freshly brewed black tea
1300g ice cube,ice cube,ice cube
1300g lavender simple syrup,lavender simple,sparkling simple syrup
"1300g lemon juice, freshly squeezed",lemon juice,lemon juice
"1300g lime juice, fresh",lime juice,lime juice
1300g mango schnapps,mango schnapps,mango schnapps
1300g mint-flavored simple syrup,simple simple syrup,chocolate simple syrup
1300g peach liqueur,peach liqueur,peach liqueur
1300g pomegranate juice,pomegranate juice,pomegranate juice
1300g rich simple syrup,simple simple syrup,small simple syrup
1300g rosemary simple syrup,simple simple,ginger simple syrup
1300g scotch,scotch,scotch
"1300g sparkling wine, preferable moscato",sparkling wine,sparkling wine
1300g tonic water,tonic water,tonic water
1300g vanilla,pisco,vanilla
1300g vanilla simple syrup,ginger simple simple syrup,vanilla simple syrup
1300g water,water,water
"1300g water, boiling",water,shallots
1300g white vermouth,white vermouth,white vermouth
1300ml ale,ale,ale
1300ml applejack (optional),bourbon,applejack
1300ml averna,spareribs,averna
1300ml brandy,brandy,brandy
1300ml champagne,champagne,champagne
1300ml chilled champagne,champagne,chilled champagne
1300ml creme de cacao,creme de cacao,creme de cacao
1300ml dry curacao,dry curacao,hot curacao
1300ml dry prosecco,prosecco,prosecco prosecco
1300ml freshly squeezed lemon juice,lemon juice,lemon juice juice
"1300ml ginger, peeled",ginger,beet
1300ml ice cube (optional),ice cube,ice cube
1300ml Jameson whiskey,citrus vodka,jameson whiskey
"1300ml large lime juice, fresh",lime juice,large lime juice
"1300ml lemon juice, fresh (optional)",lemon juice,lemon juice
1300ml lillet blanc,lillet blanc,lillet blanc
"1300ml lime juice, freshly squeezed",lime juice,lime juice
1300ml mint-flavored simple syrup,simple simple syrup,chocolate simple syrup
1300ml old tom gin,old tom gin,old tom gin
1300ml pepper vodka,pepper vodka,pepper vodka
1300ml pomegranate molasses,pomegranate molasses,pomegranate molasses
1300ml port,port,port
1300ml rooibos simple syrup,simple simple syrup,rooibos tea bag
"1300ml seltzer, chilled",seltzer,seltzer
"1300ml simple syrup, made with honey instead of sugar",simple syrup,simple syrup
"1300ml simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
1300ml sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
1300ml the king's ginger,the kings,the kings ginger
1300ml vodka (optional),marjoram,vodka
1300ml walnut liqueur,walnut liqueur,walnut liqueur
1300ml whipped cream,whipped cream,whipped cream
1350 g blanco tequila,blanco tequila,blanco tequila
"1350 g blood orange juice, fresh",blood orange juice,blood orange juice
"1350 g celery juice, fresh",celery juice,celery juice
1350 g champagne,champagne,champagne
1350 g cold water,water,cold water
1350 g drinking vinegar,english vinegar,smoked vinegar
1350 g dry curacao,dry curacao,hot curacao
1350 g fresh pomegranate juice,pomegranate juice,fresh pomegranate juice
"1350 g ginger juice, fresh",ginger juice,ginger juice
1350 g grade B maple syrup,maple syrup,maple syrup
1350 g grapefruit juice,grapefruit juice,grapefruit juice
"1350 g grapefruit juice, fresh squeezed",grapefruit juice,grapefruit zest
"1350 g grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
1350 g ice cube,ice cube,ice cube
1350 g lemon juice (optional),lemon juice,lemon juice
"1350 g lemon juice, freshly squeezed",lemon juice,lemon juice
1350 g lemon simple syrup,lemon simple syrup,lemon simple syrup
1350 g mint simple syrup,simple simple,ginger simple syrup
1350 g old tom gin,old tom gin,old tom gin
1350 g orange ginger simple syrup,ginger ginger simple syrup,ginger ginger simple
"1350 g orange juice, freshly squeezed",orange juice,orange zest
"1350 g pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
1350 g pisco,pisco,pisco
1350 g pomegranate molasses,pomegranate molasses,pomegranate molasses
1350 g prepared spiced simple syrup,spiced simple simple,spiced simple simple
1350 g rye whiskey (optional),rye whiskey,rye whiskey
"1350 g seltzer, chilled",seltzer,seltzer
1350 g single-malt scotch,raspberry,<OOV> malt
"1350 g sparkling wine, preferable moscato",sparkling wine,sparkling wine
1350 g sweet vermouth,sweet vermouth,sweet vermouth
1350 g sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
1350 g tonic water,tonic water,tonic water
1350 g unfiltered apple cider,apple cider,unfiltered apple cider cider
1350 ml aperol,aperol,aperol
1350 ml apricot brandy,apricot brandy,apricot brandy
1350 ml averna,averna,cynar
1350 ml benedictine,benedictine,benedictine
1350 ml cachaca,cachaca,cachaca
1350 ml campari,campari,campari
1350 ml celery juice,celery juice,celery juice
1350 ml chicory-infused rye whiskey,tapioca flour,flaky infused rye whiskey
1350 ml cointreau,cointreau,cointreau
1350 ml crushed ice,crushed ice,crushed ice
1350 ml green chartreuse,green chartreuse,green chartreuse
1350 ml lemon juice,lemon juice,lemon juice
"1350 ml lemon, freshly squeezed",lemon,beet
1350 ml mezcal,mezcal,mezcal
1350 ml passionfruit simple syrup,ginger simple syrup,passionfruit simple
1350 ml pine liqueur,pine liqueur,pine liqueur
1350 ml pisco,pisco,pisco
1350 ml the king's ginger,the kings ginger,the kings ginger
1350 ml tomato juice,tomato juice,tomato juice
1350 ml tonic water,tonic water,tonic water
1350 ml vanilla,vanilla,vanilla
1350 ml water,water,water
1350 ml white rum,white rum,white rum
1350g apple cider,apple cider,apple cider
1350g becherovka,fritos,cynar
1350g bornholmer bitter,bornholmer bitter,bornholmer bitter
1350g cardamom pod,cardamom,cardamom pod
"1350g celery juice, fresh",celery juice,celery juice
1350g chilled ginger beer,ginger beer,chilled ginger beer
1350g drambuie,drambuie,drambuie
1350g dry sherry,dry sherry,dry sherry
1350g dry vermouth,dry vermouth,dry vermouth
"1350g dry vermouth, chilled",dry vermouth,dry vermouth
1350g dubonnet,dubonnet,dubonnet
1350g elderflower liqueur,elderflower liqueur,elderflower liqueur
1350g ginger juice,ginger juice,ginger juice
1350g grenadine,fritos,grenadine
"1350g hot, freshly brewed black coffee",black black,freshly brewed black tea
1350g ice cube (optional),ice cube,ice cube
"1350g large lime juice, fresh",lime juice,large lime juice
1350g lavender simple syrup,lavender simple,ginger simple syrup
"1350g lemon juice, fresh",lemon juice,lemon juice
"1350g lemon juice, freshly squeezed",lemon juice,lemon juice
1350g old tom gin,old tom gin,old tom gin
"1350g orange juice, fresh squeezed",orange juice,orange zest
"1350g pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
1350g rich simple syrup,simple simple syrup,small simple syrup
1350g rooibos simple syrup,simple simple syrup,rooibos tea bag
1350g saint germain,saint germain,saint germain
"1350g seltzer, chilled",seltzer,seltzer
1350g simple syrup,simple syrup,simple syrup
"1350g strawberry, sliced",strawberry,beet
1350g vermouth,vermouth,vermouth
1350g white rum,white rum,white rum
1350ml aged rum,aged rum,aged rum
1350ml amaretto,tarragon,amaretto
1350ml aperol,aperol,aperol
1350ml averna,spareribs,cynar
1350ml benedictine,benedictine,benedictine
1350ml brandy,brandy,brandy
1350ml cachaca,kippers,cachaca
1350ml campari,campari,campari
"1350ml cava, chilled",cava,seltzer
"1350ml celery juice, fresh",celery juice,celery juice
"1350ml celery, sliced",celery,beet
1350ml club soda,club soda,club soda
1350ml cointreau,farro,cointreau
"1350ml cool, filtered water",water,water
1350ml dark rum,dark rum,dark rum
1350ml falernum,raspberries,cynar
1350ml fino sherry,fino sherry,fino sherry
1350ml freshly squeezed orange juice,orange juice,freshly orange orange juice
1350ml galliano,guacamole,galliano
1350ml ginger liqueur,ginger liqueur,ginger liqueur
1350ml high-proof bourbon,cola,bourbon bourbon bourbon
1350ml honey,honey,honey
1350ml ice cube,ice cube,ice cube
1350ml lavender simple syrup,lavender simple,ginger simple syrup
"1350ml lemon juice, freshly squeezed",lemon juice,lemon juice
1350ml maple syrup,maple syrup,maple syrup
1350ml mint simple syrup,simple simple,ginger simple syrup
1350ml old tom gin,old tom gin,old tom gin
"1350ml orange juice, fresh (optional)",lemon juice,orange juice
"1350ml orange juice, freshly squeezed",lemon juice,orange zest
1350ml pomegranate molasses,pomegranate molasses,pomegranate molasses
1350ml prepared spiced simple syrup,creme simple simple,spiced simple simple
1350ml punt e mes,punt e mes,punt e mes
1350ml rye whiskey,rye whiskey,rye whiskey
1350ml semisweet chocolate chip,chocolate chocolate,semisweet chocolate chip
"1350ml sparkling wine, chilled",sparkling wine,sparkling champagne
1350ml tonic water,tonic water,tonic water
1350ml water,water,water
1350ml whiskey,whiskey,whiskey
1350ml yellow chartreuse,yellow chartreuse,yellow chartreuse
"14 cloves garlic, minced or pressed through garlic press (about 1/4 cup)",garlic,garlic salt
14 ounces (about 1 3/4 cups) full fat yogurt or whole milk,ground milk,whole milk milk
"14 ounces frozen or homemade puff pastry, thawed (see note)",hamburger grape,crushed puff pastry
14 oz granulated sugar,granulated sugar,granulated sugar
1400 g aged rum,aged rum,aged rum
1400 g apple cider,apple cider,apple cider
1400 g benedictine,benedictine,benedictine
1400 g cardamom-infused bourbon,gruyere,ripe infused bourbon
1400 g citrus vodka,citrus vodka,citrus vodka
1400 g cynar,cynar,cynar
1400 g demerara simple syrup,simple simple syrup,demerara simple syrup
1400 g dry curacao,dry curacao,hot curacao
1400 g dry sherry,dry sherry,dry sherry
1400 g freshly squeezed orange juice,orange juice,freshly orange orange juice
1400 g ginger beer,ginger beer,ginger beer
1400 g ginger juice,ginger juice,ginger juice
1400 g ginger liqueur,ginger liqueur,ginger liqueur
1400 g grand marnier,grand marnier,grand marnier
1400 g granny smith apple cider,granny smith apple,granny smith cider
1400 g grapefruit juice,grapefruit juice,grapefruit juice
"1400 g grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
"1400 g large lime juice, fresh",lime juice,large lime juice
1400 g orgeat,orgeat,cynar
1400 g pisco,pisco,pisco
1400 g pomegranate molasses,pomegranate molasses,pomegranate molasses
1400 g punt e mes,punt e mes,punt e mes
1400 g rum,rum,rum
"1400 g sparkling wine, chilled",sparkling wine,chilled champagne
1400 g tomato juice,tomato juice,tomato juice
1400 g white vermouth,white vermouth,white vermouth
1400 g yellow chartreuse,yellow chartreuse,yellow chartreuse
1400 ml aperol,aperol,aperol
"1400 ml apple cider, fresh",apple cider,apple juice
1400 ml applejack,applejack,applejack
1400 ml basil simple syrup,balsamic simple syrup,basil simple syrup
1400 ml cava (optional),cava,cava
1400 ml club soda,club soda,club soda
1400 ml coffee,coffee,coffee
"1400 ml dry sparkling wine, chilled",sparkling wine,sparkling sparkling wine
1400 ml galliano,galliano,galliano
1400 ml ginger juice,ginger juice,ginger juice
1400 ml grade B maple syrup,maple syrup,maple syrup
1400 ml green chartreuse,green chartreuse,green chartreuse
1400 ml half and half,half and half,half and half
1400 ml Jameson whiskey,lentils whiskey,jameson whiskey
"1400 ml lemon, freshly squeezed",lemon,cherry
"1400 ml lime juice, fresh",lime juice,lime juice
1400 ml maraschino liqueur (optional),maraschino liqueur,maraschino liqueur
1400 ml pomegranate juice,pomegranate juice,pomegranate juice
"1400 ml simple syrup, made with honey instead of sugar",simple syrup,simple syrup
1400 ml vanilla simple syrup,vanilla simple syrup,vanilla simple syrup
1400 ml whole milk,whole milk,whole milk
1400g apricot liqueur,apricot liqueur,apricot liqueur
1400g averna,spareribs,cynar
"1400g blood orange juice, fresh",blood orange juice,blood orange juice
1400g bornholmer bitter,bornholmer bitter,bornholmer bitter
1400g brandy,brandy,brandy
"1400g celery, sliced",celery,beet
1400g cranberry simple syrup,dried simple syrup,cranberry simple syrup
1400g cynar,twine,cynar
1400g dry sherry,dry sherry,dry sherry
1400g elderflower liqueur,elderflower liqueur,elderflower liqueur
1400g fresh egg white,egg white,fresh egg white
1400g freshly squeezed lime juice,lime juice,freshly ground lime juice
1400g ginger liqueur,ginger liqueur,ginger liqueur
1400g green chartreuse,green chartreuse,green chartreuse
1400g half and half,half,half and half
1400g lavender simple syrup,lavender simple,ginger simple syrup
1400g lemon simple syrup,honey simple syrup,ginger simple syrup
1400g maple syrup,maple syrup,maple syrup
1400g pear brandy,pear brandy,pear brandy
"1400g pink grapefruit juice, fresh",pink grapefruit juice,pink grapefruit juice
1400g port,port,port
1400g prepared spiced simple syrup,creme simple simple,spiced simple simple
1400g raw sugar,sugar,raw sugar
1400g red wine,red wine,red wine
1400g rum,rum,rum
1400g tawny port,ground port,port port
1400g tonic water,tonic water,tonic water
1400g triple sec,triple sec,triple sec
1400g vodka,shortening,vodka
1400g whiskey,whiskey,whiskey
1400ml absinthe,absinthe,absinthe
1400ml amer picon,amer picon,amer picon
1400ml blanco tequila,blanco tequila,blanco tequila
"1400ml blood orange juice, fresh",blood orange juice,blood orange juice
1400ml bourbon,cola,bourbon
1400ml brut sparkling wine,sparkling wine,sparkling sparkling wine
1400ml cachaca,kippers,cachaca
1400ml campari,campari,campari
1400ml coconut seltzer,lamb seltzer,coconut seltzer
1400ml cold water,water,cold
1400ml dry curacao,dry curacao,hot curacao
"1400ml dry lambrusco, chilled",cola,dry vermouth
1400ml dubonnet,dubonnet,dubonnet
1400ml dubonnet rouge,dubonnet rouge,dubonnet rouge
1400ml evaporated milk,evaporated milk,evaporated milk
1400ml freshly squeezed lime juice,lime juice,freshly ground lime juice
1400ml genever (optional),cola,genever
"1400ml grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
1400ml green chartreuse,green chartreuse,green chartreuse
"1400ml lemon juice, freshly squeezed (optional)",lemon juice,lemon juice
1400ml lillet blonde (optional),lillet blonde,lillet blonde
1400ml old tom gin,old tom gin,old tom gin
1400ml pineapple juice,pineapple juice,pineapple juice
1400ml punt e mes,punt e mes,punt e mes
1400ml rum,rum,rum
1400ml rye whiskey (optional),rye whiskey,rye whiskey
"1400ml simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
1400ml sparkling wine,sparkling wine,sparkling wine
"1400ml sparkling wine, preferable moscato",sparkling wine,sparkling wine
1400ml triple sec,triple sec,triple sec
"1400ml water, boiling",water,watermelon
140g golden caster sugar,baby cherries,brown sugar
1450 g aperol,aperol,aperol
1450 g apple cider,apple cider,apple cider
1450 g averna,averna,cynar
1450 g beet juice,beet juice,beet juice
1450 g champagne,champagne,champagne
1450 g coconut seltzer,coconut seltzer,coconut seltzer
1450 g dry curacao,dry curacao,hot curacao
"1450 g dry lambrusco, chilled",lambrusco,dry vermouth
1450 g dry sherry,dry sherry,dry sherry
1450 g dry vermouth,dry vermouth,dry vermouth
1450 g fernet branca,fernet branca,fernet branca
1450 g genever,genever,genever
1450 g ginger beer,ginger beer,ginger beer
"1450 g ginger juice, fresh",ginger juice,ginger juice
1450 g gran classico,gran classico,gran classico
"1450 g grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
1450 g green chartreuse,green chartreuse,green chartreuse
1450 g half and half,half and half,half and half
1450 g ice cube,ice cube,ice cube
1450 g light rum,light rum,light rum
"1450 g mango, diced",mango,paddlefish
1450 g maple syrup,maple syrup,maple syrup
1450 g old tom gin,old tom gin,old tom gin
1450 g orange ginger simple syrup,ginger ginger simple syrup,ginger ginger simple
"1450 g orange juice, freshly squeezed",orange juice,orange zest
1450 g passionfruit simple syrup,simple simple syrup,passionfruit simple
1450 g pisco,pisco,pisco
1450 g rose water,rose water,rose water
1450 g rye whiskey,rye whiskey,rye whiskey
"1450 g simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
1450 g tequila,tequila,tequila
1450 g unsweetened pomegranate juice,pomegranate juice,unsweetened pomegranate juice
1450 g white rum,white rum,white rum
1450 g whole milk,whole milk,whole milk
1450 ml absinthe,absinthe,absinthe
1450 ml aged rum,aged rum,aged rum
1450 ml amaro (optional),amaro,amaro nonino
1450 ml apple cider,apple cider,apple cider
1450 ml averna,averna,averna
1450 ml blanco tequila,blanco tequila,blanco tequila
1450 ml bornholmer bitter,bornholmer bitter,bornholmer bitter
1450 ml bourbon,bourbon,bourbon
1450 ml cherry heering,cherry heering,cherry
1450 ml curacao,curacao,curacao
1450 ml dry curacao,dry curacao,hot curacao
1450 ml dry prosecco,prosecco,plain prosecco
1450 ml dry sherry,dry sherry,dry sherry
1450 ml dubonnet rouge,dubonnet rouge,dubonnet rouge
1450 ml elderflower liqueur,elderflower liqueur,elderflower liqueur
1450 ml freshly squeezed lemon juice,lemon juice,lemon lemon juice
1450 ml freshly squeezed orange juice,orange juice,freshly orange orange juice
1450 ml genever,genever,genever
1450 ml ginger beer,ginger beer,ginger beer
1450 ml grapefruit juice,grapefruit juice,grapefruit juice
1450 ml grapefruit soda,grapefruit soda,grapefruit soda
1450 ml half and half,half and half,half and half
1450 ml irish whiskey,fresh whiskey,irish whiskey
"1450 ml large lime juice, fresh",lime juice,large lime juice
1450 ml lillet rouge,lillet rouge,lillet rouge
1450 ml mezcal,mezcal,mezcal
1450 ml molasses,molasses,molasses
1450 ml pimms,pimms,pimms
"1450 ml pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
1450 ml pisco,pisco,pisco
1450 ml rum,rum,rum
1450 ml scotch,scotch,scotch
"1450 ml strawberry, sliced",strawberry,beet
1450 ml strong black coffee,black coffee,black black coffee
1450 ml the king's ginger,the kings ginger,the kings ginger
1450 ml tonic water,tonic water,tonic water
1450 ml unsweetened pomegranate juice,pomegranate juice,unsweetened pomegranate juice
1450 ml vermouth,vermouth,vermouth
1450 ml water,water,water
"1450 ml water, boiling",water,watermelon
"1450 ml water, hot (optional)",water,cornmeal
1450 ml whiskey,whiskey,whiskey
1450 ml white rum,white rum,white rum
1450g aged rum,aged rum,aged rum
1450g aperol,aperol,aperol
1450g averna,spareribs,cynar
1450g brandy,brandy,brandy
"1450g cava, chilled",cava,seltzer
1450g cocchi americano,cocchi americano,cocchi americano
"1450g cucumber juice, fresh",cucumber juice,cucumber juice
1450g dubonnet,dubonnet,dubonnet
1450g fino sherry,fino sherry,fino sherry
1450g fresh egg white,egg white,fresh egg white
1450g freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
1450g freshly squeezed orange juice,orange juice,freshly orange orange juice
1450g grade B maple syrup,maple syrup,maple syrup
1450g grand marnier,grand marnier,grand marnier
1450g granulated sugar,granulated sugar,granulated sugar
1450g grapefruit soda,grapefruit soda,grapefruit soda
1450g half and half,half,half and half
"1450g hard cider, chilled",hard cider,hard cider
1450g honey syrup,honey syrup,honey syrup
"1450g lemon, freshly squeezed",lemon,shallots
1450g lillet rouge,lillet rouge,lillet rouge
"1450g lime juice, fresh",lime juice,lime juice
"1450g pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
1450g pisco,watermelons,pisco
1450g rose champagne,rose champagne,rose champagne
1450g rosemary simple syrup,simple simple,ginger simple syrup
1450g rum,rum,rum
1450g rye whiskey,rye whiskey,rye whiskey
1450g scotch,scotch,scotch
1450g simple syrup,simple syrup,simple syrup
"1450g smoked brewed black tea, such as lapsang souchong",brewed black tea,smoked brewed black tea
"1450g sparkling wine, preferable moscato",sparkling wine,sparkling wine
1450g sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
1450g water,water,water
"1450g water, boiling",water,cherry
1450g whipped cream,whipped cream,whipped cream
1450ml ale,ale,ale
"1450ml cava, chilled",cava,seltzer
1450ml cranberry juice,cranberry juice,cranberry juice
1450ml creme de cacao,creme de cacao,creme de cacao
1450ml demerara simple syrup,simple simple syrup,demerara simple syrup
1450ml drinking vinegar,english sherry,smoked vinegar
"1450ml dry lambrusco, chilled",cola,dry vermouth
1450ml dry sherry,dry sherry,dry sherry
1450ml fresh pomegranate juice,pomegranate juice,fresh pomegranate juice
1450ml ginger beer,ginger beer,ginger beer
1450ml half and half,half,half and half
1450ml honey syrup,honey syrup,honey syrup
"1450ml hot, freshly brewed black coffee",black black,freshly brewed black tea
"1450ml kale juice, fresh",kale juice,kale juice
"1450ml large lime juice, fresh",lime juice,large lime juice
1450ml lavender simple syrup,lavender simple,ginger simple syrup
"1450ml lemon juice, fresh",lemon juice,lemon juice
1450ml lillet blanc,lillet blanc,lillet blanc
1450ml molasses,clove,molasses
1450ml orgeat,carrot,averna
1450ml passionfruit simple syrup,simple simple syrup,passionfruit simple
1450ml pear brandy,pear brandy,pear brandy
"1450ml pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
1450ml rum,rum,rum
1450ml unfiltered apple cider,apple cider,unfiltered apple cider cider
1450ml water,water,water
15 drop orange bitters,orange bitters,orange bitters
"15 leaf mint, fresh",mint,parsley
15 ounces (or 1 pound) ricotta cheese or cottage cheese,ricotta,semisweet jack jack
15 oz apple brandy,apple brandy,apple brandy
15 oz demerara simple syrup,simple simple syrup,demerara simple syrup
15-ounce can full fat coconut milk,rose petals,coconut coconut milk
150 g angostura bitters,angostura bitters,angostura bitters
150 g aperol,aperol,aperol
150 g averna,averna,averna
150 g brut sparkling wine,sparkling wine,sparkling sparkling wine
150 g coconut seltzer,coconut seltzer,coconut seltzer
150 g drinking vinegar,english vinegar,smoked vinegar
"150 g dry lambrusco, chilled",lambrusco,dry sherry
150 g dry sherry,dry sherry,dry sherry
"150 g dry vermouth, chilled",dry vermouth,dry sherry
150 g dubonnet,dubonnet,dubonnet
150 g elderflower liqueur,elderflower liqueur,elderflower liqueur
150 g freshly squeezed lemon juice,lemon juice,freshly lemon juice
150 g galliano,galliano,galliano
150 g ginger liqueur,ginger liqueur,ginger liqueur
"150 g grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
150 g half and half,half and half,half and half
"150 g large lime juice, fresh",lime juice,large lime juice
150 g lillet blanc,lillet blanc,lillet blanc
